BannerType;CampaignType;Category;Client;Date;Device;Place;QueryType;TargetingType;Clicks;Cost;Conversions;Shows
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Phrase;Autotargeting;4;349,8369231;0;957
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Autotargeting;1;44,97007607;1;1
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;133;16987,3038;4;777
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Competitor;Phrase;3;1486,487049;1;74
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Autotargeting;1;130,4098797;1;4
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Phrase;4;5795,881564;1;76
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Phrase;Phrase;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Networks;Retargeting;Retargeting;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Autotargeting;1;157,6954885;1;2
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Phrase;65;11123,62479;4;256
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Competitor;Autotargeting;0;0;0;1
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Competitor;Phrase;3;1551,766591;1;60
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Other;Autotargeting;1;516,0172216;1;23
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Other;Phrase;4;7118,659466;1;90
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Networks;Phrase;Autotargeting;0;0;0;6
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Networks;Retargeting;Retargeting;1;31,71089837;1;584
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Brand;Autotargeting;1;25,17741926;1;1
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Brand;Phrase;223;29543,53564;6;1302
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Competitor;Autotargeting;1;70,82200791;0;14
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Competitor;Phrase;3;1899,916811;1;85
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Autotargeting;6;1150,474192;1;119
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Phrase;12;7300,711901;1;328
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Phrase;Phrase;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Retargeting;Retargeting;6;145,0608511;1;534
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Autotargeting;1;62,51404598;1;2
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;86;15178,31949;5;336
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Competitor;Autotargeting;1;20,84263208;1;5
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Competitor;Phrase;3;2297,966721;1;66
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Autotargeting;3;1158,327565;1;128
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Phrase;7;7129,00615;1;322
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Networks;Retargeting;Retargeting;3;67,3685622;1;1223
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Autotargeting;1;170,1426521;1;3
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Phrase;311;37263,48038;6;1757
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Competitor;Autotargeting;1;19,33709726;0;3
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Competitor;Phrase;3;3350,049734;1;118
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Autotargeting;4;882,6574144;1;81
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Phrase;14;11564,00573;1;346
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Autotargeting;Autotargeting;0;0;1;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Retargeting;Retargeting;61;1071,325031;1;5171
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Autotargeting;1;145,6397284;1;3
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Phrase;97;17188,26163;7;379
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Autotargeting;1;5,878591863;0;2
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Phrase;4;3475,655325;1;90
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Autotargeting;2;840,6397314;1;77
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Phrase;10;12982,40577;1;325
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Competitor;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Networks;Autotargeting;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Competitor;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Phrase;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Networks;Retargeting;Retargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Competitor;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.02.2023;Mobile;Search;Other;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Brand;Phrase;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.03.2023;Mobile;Search;Other;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Autotargeting;0;0;0;0
text;text;CASH SETTLEMENT SERVICES;BELL;01.01.2023;Desktop;Search;Brand;Phrase;0;0;0;0
